timestamp,precipitation (mm),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius)
01/12/2019,,,,
02/12/2019,6.074000000000001,18.144444444444446,22.8,16.1
03/12/2019,1.2760000000000002,18.45034722222222,23.3,15.9
04/12/2019,2.7399999999999998,19.402083333333334,25.2,15.6
05/12/2019,25.367,17.841666666666665,23.3,15.3
06/12/2019,1.9890000000000003,18.946527777777778,24,15.2
07/12/2019,5.681,18.428124999999998,22.4,16.5
08/12/2019,2.9749999999999996,18.338541666666668,23.9,15.2
09/12/2019,6.832000000000001,18.354166666666668,23,15.9
10/12/2019,,,,
11/12/2019,,,,
12/12/2019,0,18.27630662020906,24,13.7
13/12/2019,0,19.15694444444445,24.4,14.6
14/12/2019,0.017,18.060627177700347,23.8,14.6
15/12/2019,4.526,18.297569444444445,23.7,15.2
16/12/2019,0.017,18.69340277777778,24.2,15
17/12/2019,0,18.749305555555555,23.8,15.1
18/12/2019,0,19.06597222222222,24.1,15
19/12/2019,0,17.90381944444444,23.7,13.1
20/12/2019,0.051000000000000004,18.581720430107527,24.3,12.8
21/12/2019,3.2310000000000003,18.388967971530253,24.3,15.1
22/12/2019,0,18.24946996466431,23,15.2
23/12/2019,7.666999999999999,18.974377224199287,24.2,15.3
24/12/2019,2.876,18.964664310954067,23.9,15.8
25/12/2019,1.2759999999999998,19.45177304964539,24.5,15.4
26/12/2019,15.794,18.81595744680851,25.1,13.9
27/12/2019,39.278999999999996,19.893617021276597,26.8,16.8
28/12/2019,18.3,18.86197183098591,25.6,16.4
29/12/2019,0.017,19.555516014234875,24.4,15.9
30/12/2019,0,18.48521126760563,23.5,13.6
31/12/2019,0.034,18.613427561837458,24,14.1
01/01/2020,0.051,18.77323943661972,24.4,13.9
02/01/2020,0.136,18.82918149466192,24.7,15
03/01/2020,0.85,18.94699647,23.9,14.5
04/01/2020,0.017,18.337323943661968,23.5,14.5
05/01/2020,0,19.455160142348753,25.4,13.1
06/01/2020,11.123000000000001,19.676595744680853,25.9,15.3
07/01/2020,9.032,18.263957597173146,23,15.2
08/01/2020,4.388,17.44098939929329,22.4,15.3
09/01/2020,2.927,18.36950354609929,24.5,14.6
10/01/2020,0.034,19.569824561403507,25.8,15.5
11/01/2020,0.017,19.814487632508833,26.3,14.7
12/01/2020,7.0760000000000005,19.922775800711744,26.9,15.9
13/01/2020,11.223,18.018374558303886,23.4,15.9
14/01/2020,0,19.379094076655054,24,15.4
15/01/2020,0,19.764664310954064,25,16.2
16/01/2020,0.017,19.381914893617022,24.3,16
17/01/2020,0,19.214736842105264,25.2,15.2
18/01/2020,0,19.837809187279152,26.2,15.5
19/01/2020,0,19.655985915492955,26,14.4
20/01/2020,0,19.858245614035088,26.5,14
21/01/2020,0.051000000000000004,20.159298245614035,25.6,14.8
22/01/2020,0,19.716901408450706,24.2,15.8
23/01/2020,0.034,19.302473498233216,24,16.9
24/01/2020,0,18.975174825174825,22.8,17
25/01/2020,0.272,18.931944444444444,24.5,16.4
26/01/2020,16.112,18.01215277777778,22.7,15.7
27/01/2020,4.443,18.139236111111114,22.4,15.5
28/01/2020,9.078999999999999,17.327083333333334,22,15.3
29/01/2020,0.068,19.206944444444442,24.3,15.9
30/01/2020,0.34,19.22152777777778,24.5,16.4
31/01/2020,25.53,19.64548611111111,25.6,15.5
01/02/2020,15.132,18.317708333333332,24.1,15.2
02/02/2020,6.6850000000000005,18.647916666666667,25.4,15.6
03/02/2020,0.085,19.019791666666666,25,14.7
04/02/2020,0.034,18.915625,24.5,14.4
05/02/2020,0.28900000000000003,18.740277777777774,24.5,12.9
06/02/2020,0.11900000000000001,18.429166666666667,24.8,13.1
07/02/2020,0.32300000000000006,19.2375,26.1,13
08/02/2020,0.28900000000000003,18.609375,24.7,14.3
09/02/2020,0.136,18.398958333333333,24.6,13.5
10/02/2020,0.17,18.826736111111114,26.2,12
11/02/2020,0,20.055902777777778,28.1,11.8
12/02/2020,0.051000000000000004,20.32013888888889,27,13.4
13/02/2020,0.272,19.711805555555557,25.5,15
14/02/2020,0.20400000000000001,19.275694444444444,24.8,15.3
15/02/2020,3.467,18.094791666666666,24.6,15.5
16/02/2020,5.489,18.112891986062717,23.6,15.5
17/02/2020,0.255,19.541666666666668,25.5,15.5
18/02/2020,0.20400000000000001,19.5375,25,14.5
19/02/2020,0.11900000000000001,19.84131944444444,25.8,16.1
20/02/2020,0.272,20.398263888888888,26.9,14.2
21/02/2020,0.20400000000000001,20.378819444444446,27.1,15.4
22/02/2020,0.17,19.82326388888889,26.4,15.9
23/02/2020,0.255,19.635416666666668,25.8,15.8
24/02/2020,0.15300000000000002,19.646875,25.7,14.1
25/02/2020,3.5349999999999997,20.771875,27.9,13.9
26/02/2020,1.445,20.294791666666665,27.2,16.3
27/02/2020,0.11900000000000001,19.921875,26.6,16
28/02/2020,0.272,20.03402777777778,26.2,15.6
29/02/2020,0.11900000000000001,20.714236111111113,27.7,14.1
01/03/2020,29.602,19.808362369337978,28.1,14.7
02/03/2020,2.1430000000000002,18.72473867595819,25.7,16
03/03/2020,0.476,20.72673611111111,26.6,16.3
04/03/2020,0.51,20.33090277777778,26.9,15.8
05/03/2020,5.565,19.794097222222224,27.9,15.1
06/03/2020,0,20.538888888888888,27.3,15
07/03/2020,0,20.501041666666666,27.4,15.3
08/03/2020,0.255,20.117708333333333,25.9,16
09/03/2020,0.10200000000000001,19.91840277777778,26.1,16.7
10/03/2020,0.22100000000000003,20.34652777777778,26.7,16.4
11/03/2020,0.085,20.232291666666665,27.3,15.7
12/03/2020,0.068,20.03125,26.3,16.1
13/03/2020,0.187,20.415972222222223,26.6,16.2
14/03/2020,0.187,20.271428571428572,27.2,14.3
15/03/2020,0.272,20.548263888888886,27.9,14.8
16/03/2020,0.187,21.246180555555554,29.5,15.4
17/03/2020,0.15300000000000002,20.916319444444447,27.8,15.9
18/03/2020,0.561,20.031597222222224,26.9,15.9
19/03/2020,1.02,19.65972222222222,26.6,15.3
20/03/2020,0.10200000000000001,20.339236111111113,27.1,15.6
21/03/2020,1.429,19.50347222222222,26,14.6
22/03/2020,0.10200000000000001,19.55,26,14.6
23/03/2020,0.085,20.242708333333333,27.9,13.5
24/03/2020,0.11900000000000001,20.383333333333336,28,15.6
25/03/2020,0.085,20.37326388888889,27.2,16
26/03/2020,29.936999999999998,19.460975609756098,27.4,14.8
27/03/2020,0.272,19.15173611111111,25.6,15.9
28/03/2020,23,19.378124999999997,26.1,14.8
29/03/2020,8.111,18.833333333333332,26.6,14
30/03/2020,0.15300000000000002,19.70520833333333,26.9,15
31/03/2020,0.15300000000000002,20.164583333333333,26.1,16.5
01/04/2020,0.272,19.837500000000002,26.3,15
02/04/2020,0.22100000000000003,19.507986111111112,26.2,14.1
03/04/2020,0.136,19.617361111111112,25.8,15.4
04/04/2020,0.136,19.499305555555555,25.3,15.1
05/04/2020,0.9860000000000001,19.85902777777778,25.9,15
06/04/2020,0.11900000000000001,20.09444444444445,26.6,16
07/04/2020,1.037,19.344444444444445,25.2,16.6
08/04/2020,0.187,19.92951388888889,25.8,15.1
09/04/2020,0.17000000000000004,19.68541666666667,26.3,14.2
10/04/2020,0.15300000000000002,19.47673611111111,25.6,14.9
11/04/2020,0.187,19.83159722222222,27.3,13.3
12/04/2020,0.11900000000000001,20.266666666666666,27.4,12.8
13/04/2020,0.22100000000000003,19.743055555555557,25.8,15.3
14/04/2020,3.672,19.872916666666665,27.6,15.6
15/04/2020,1.8030000000000002,19.657839721254355,26.9,15.2
16/04/2020,0.068,18.61284722222222,27.3,14.7
17/04/2020,0.10200000000000001,20.010069444444444,26.3,14.6
18/04/2020,27.555,18.94097222222222,26.9,16
19/04/2020,0.068,18.602777777777778,23.2,16
20/04/2020,34.108,18.721180555555556,24.7,15.8
21/04/2020,6.681,18.67465277777778,24.8,15.2
22/04/2020,50.979,17.98923611111111,23.5,15.3
23/04/2020,6.307000000000001,16.857291666666665,19.1,15
24/04/2020,25.512999999999998,18.430555555555557,25.4,14.6
25/04/2020,4.779999999999999,18.225347222222222,22.7,14.7
26/04/2020,7.708000000000001,18.814285714285717,25.4,15.7
27/04/2020,0.20400000000000001,18.178819444444443,23.8,13.6
28/04/2020,3.249,19.086805555555557,25.8,13.2
29/04/2020,1.037,19.484027777777776,25.1,16.2
30/04/2020,5.324000000000001,19.29097222222222,25.3,16
01/05/2020,0.17,19.058333333333334,25.3,15.5
02/05/2020,0.034,19.369444444444444,25.2,16.6
03/05/2020,0,19.301041666666666,25.3,16
04/05/2020,0.017,19.504166666666663,26.2,14.4
05/05/2020,0.085,19.778819444444444,25.8,14.8
06/05/2020,12.498,19.121875000000003,25.9,16.3
